('42', '141', '2034-11-21 18:06:29', '1'),
('35', '128', '2033-10-13 13:06:21', '1'),
('20', '80', '2029-10-14 04:19:25', '1'),
('29', '6', '2025-05-26 00:22:02', '1'),
('13', '29', '2025-07-22 01:27:37', '1'),
('6', '134', '2034-04-27 03:08:21', '1'),
('32', '140', '2034-10-13 15:18:05', '1'),
('12', '45', '2026-11-21 09:25:36', '-1'),
('46', '23', '2026-10-08 09:16:09', '1'),
('28', '73', '2029-03-21 04:28:18', '1'),
('42', '3', '2026-06-16 07:04:59', '1'),
('3', '5', '2023-07-21 05:57:08', '-1'),
('43', '16', '2026-07-20 12:32:20', '1'),
('22', '92', '2030-10-14 06:31:09', '1'),
('19', '79', '2029-09-06 16:38:02', '1'),
('48', '122', '2033-04-27 00:56:37', '1'),
('22', '66', '2028-08-16 09:55:05', '-1'),
('20', '96', '2031-02-26 13:13:32', '1'),
('18', '76', '2029-06-10 16:19:08', '1'),
('36', '61', '2028-03-21 02:16:34', '-1'),
('4', '121', '2033-03-22 04:22:15', '1'),
('23', '87', '2030-05-15 16:38:36', '1'),
('24', '46', '2026-12-15 20:10:51', '1'),
('42', '113', '2032-07-22 07:56:46', '1'),
('4', '15', '2024-05-16 03:28:12', '1'),
('48', '80', '2029-10-14 04:19:25', '-1'),
('13', '127', '2033-09-06 01:24:58', '1'),
('38', '46', '2026-12-15 20:10:51', '1'),
('24', '57', '2027-11-21 11:37:20', '1'),
('30', '34', '2025-12-15 17:59:07', '1'),
('17', '56', '2027-10-13 08:48:56', '-1'),
('41', '55', '2027-09-05 21:07:33', '1'),
('39', '9', '2026-03-25 04:07:08', '1'),
('41', '3', '2026-05-03 06:55:32', '1'),
('15', '1', '2024-03-26 14:50:41', '-1'),
('47', '115', '2032-09-05 23:13:14', '1'),
('41', '25', '2026-05-03 06:55:32', '1'),
('21', '4', '2024-09-02 08:18:19', '1'),
('7', '110', '2032-04-26 22:44:53', '-1'),
('44', '122', '2033-04-27 00:56:37', '1'),
('30', '108', '2032-02-26 15:25:16', '1'),
('35', '138', '2034-08-15 23:05:29', '-1'),
('7', '70', '2028-12-16 15:41:20', '1'),
('17', '76', '2029-06-10 16:19:08', '1'),
('32', '85', '2030-03-21 06:40:02', '-1'),
('45', '107', '2032-01-12 00:08:48', '1'),
('8', '107', '2032-01-12 00:08:48', '1'),
('26', '38', '2026-04-26 18:27:28', '1'),
('34', '121', '2033-03-22 04:22:15', '1'),
('36', '129', '2033-11-21 15:54:45', '-1'),
('23', '68', '2028-10-14 02:07:41', '1'),
('15', '51', '2027-05-16 10:03:24', '-1'),
('11', '50', '2027-04-26 20:39:12', '1'),
('28', '116', '2032-10-13 10:54:37', '-1'),
('39', '16', '2026-03-25 04:07:08', '1'),
('30', '43', '2026-09-05 18:55:49', '1'),
('49', '136', '2034-06-11 18:24:49', '1'),
('40', '22', '2026-04-30 00:41:30', '1'),
('43', '118', '2032-12-16 00:28:16', '-1'),
('25', '89', '2030-07-21 12:26:17', '1'),
('30', '141', '2034-11-21 18:06:29', '1'),
('22', '128', '2033-10-13 13:06:21', '1'),
('43', '91', '2030-09-06 18:49:46', '1'),
('25', '37', '2026-03-21 21:53:06', '1'),
('4', '40', '2026-06-11 09:43:56', '1'),
('46', '78', '2029-08-16 12:06:49', '1'),
('42', '18', '2026-06-16 07:04:59', '-1'),
('26', '3', '2025-02-09 01:45:57', '1'),
('50', '36', '2027-02-28 19:33:37', '1'),
('16', '52', '2027-06-11 11:55:40', '-1'),
('14', '131', '2034-01-11 04:32:16', '1'),
('34', '89', '2030-07-21 12:26:17', '1'),
('49', '63', '2028-05-15 12:15:08', '-1'),
('29', '2', '2025-05-26 00:22:02', '-1'),
('17', '103', '2031-09-06 21:01:30', '1'),
('49', '6', '2027-01-25 14:06:16', '1'),
('40', '140', '2034-10-13 15:18:05', '-1'),
('39', '127', '2033-09-06 01:24:58', '-1'),
('44', '136', '2034-06-11 18:24:49', '1'),
('16', '62', '2028-04-25 22:50:56', '-1'),
('40', '130', '2033-12-16 02:40:00', '1'),
('8', '21', '2024-11-21 05:02:08', '1'),
('9', '114', '2032-08-17 09:49:02', '1'),
('36', '76', '2029-06-10 16:19:08', '-1'),
('30', '135', '2034-05-16 16:32:33', '1'),
('1', '140', '2034-10-13 15:18:05', '1'),
('27', '52', '2027-06-11 11:55:40', '1'),
('1', '89', '2030-07-21 12:26:17', '1'),
('6', '66', '2028-08-16 09:55:05', '1'),
('23', '19', '2024-11-21 05:02:08', '1'),
('15', '125', '2033-07-20 19:01:29', '-1'),
